name,artistID,weight
Adam Lambert,544,115538
The Veronicas,680,114690
Queen,959,114505
Bright Eyes,195,113631
Florence + the Machine,689,113467
Nelly Furtado,310,110218
Selena Gomez & the Scene,686,110123
Megadeth,918,102662
blink-182,412,102334
Los Hermanos,439,100819
Death Cab for Cutie,217,100298
倖田來未,2102,99845
AC/DC,706,99820
Joy Division,441,99296
Enrique Iglesias,161,97089
50 Cent,2179,96353
Marilyn Manson,7,96201
The Doors,868,95880
Cyndi Lauper,889,94551
Kanye West,331,94501
The Kooks,1048,94398
3OH!3,464,94179
Ashlee Simpson,293,93828
Pet Shop Boys,1001,91869
The Smiths,429,91740
Justin Timberlake,329,91169
Alicia Keys,301,91066
A Day to Remember,816,90365
The Devil Wears Prada,1541,90154
Porcupine Tree,152,88594
The Smashing Pumpkins,436,88270
Foo Fighters,982,88086
Wanessa,2548,87617
The Rolling Stones,735,87432
David Archuleta,304,86342
MGMT,1400,86195
Lindsay Lohan,523,85160
McFly,1047,83954
Céline Dion,265,83373
Erasure,1014,83206
Nightwish,930,83061
Franz Ferdinand,1090,82999
Interpol,225,81822
Girls Aloud,906,80222
Rise Against,808,80184
Opeth,188,79847
Fall Out Boy,540,79486
Bring Me The Horizon,779,78578
Slipknot,1044,78363
Within Temptation,518,78342
Enigma,63,77046
Elvis Presley,1244,76175
Tool,1131,76012
Keane,182,75804
Flyleaf,499,75634
Leighton Meester,2020,75372
Adele,1934,75169
Brandy,279,74834
Boards of Canada,748,74039
Ramones,1513,73961
Nicole Scherzinger,543,73597
Jordin Sparks,290,72962
Matanza,932,71710
HIM,504,71488
Escape The Fate,1180,71434
Lifehouse,1470,71250
Good Charlotte,536,70828
Fresno,1045,70589
John Mayer,683,70360
Children of Bodom,923,70314
Queens of the Stone Age,226,69833
Gorillaz,88,69629
The Birthday Massacre,487,68917
Three Days Grace,488,68306
Ciara,314,67979
Cheryl Cole,352,67822
New Order,59,67259
OneRepublic,191,67187
Mylène Farmer,3501,66688
Gwen Stefani,525,65902
Dream Theater,920,65886
Regina Spektor,3057,65641
Tokio Hotel,1673,65344
Bob Dylan,212,65145
Incubus,1116,64897
Jesse McCartney,456,64596
SHINee,1904,64256
t.A.T.u.,972,63661
David Guetta,328,63582
Robyn,2521,63510
Deftones,512,62933
Pantera,843,62838
Arcade Fire,199,62735
Slayer,841,62107
Jonas Brothers,321,61849
Kerli,1034,61748
The Used,537,61679
As I Lay Dying,813,61163
浜崎あゆみ,375,60167
Crystal Castles,757,59938
Elliott Smith,615,59821
Sugababes,296,59353
The Offspring,1406,58965
The Who,562,58438
Pixie Lott,528,58312
Korn,517,58163
Snow Patrol,1375,57847
Akon,1444,57537
Maroon 5,538,57009
Timbaland,907,56599
Tegan and Sara,898,56006
Dave Gahan,1713,55944
Sum 41,1186,55683
Enter Shikari,768,55642
Cobra Starship,324,55463
R.E.M.,715,55137
The Saturdays,323,54909
Robbie Williams,155,54825
BoA,2094,54663
Goldfrapp,58,54597
Mika,1243,53918
A Perfect Circle,1118,53915
Nicki Minaj,1037,53353
Yeah Yeah Yeahs,425,53054
Breaking Benjamin,1854,52706
IAMX,1075,52137
Underoath,2850,51988
Aly & AJ,1684,51641
Anahí,802,51602
Bullet for My Valentine,500,51566
Lil' Wayne,527,50645
Pitty,542,50241
ABBA,1464,50132
Belle and Sebastian,618,49881
The National,416,49647
Tori Amos,961,49603
Scissor Sisters,167,49521
Natalie Imbruglia,1505,49290
Alice in Chains,854,49014
Ellie Goulding,548,48631
Morrissey,2531,48397
Röyksopp,64,47993
Kasabian,969,47200
Garbage,172,46606
Atreyu,830,46466
Jeffree Star,524,46370
Lostprophets,493,46295
Damien Rice,204,46061
Kate Nash,430,45886
Tangerine Dream,6150,45769
Judas Priest,1358,45672
Sonata Arctica,1339,45666
The White Stripes,709,45355
Disturbed,978,44959
Aerosmith,2346,44878
Moby,70,44852
Usher,468,44673
Simple Plan,481,44240
Air,53,44230
KISS,2343,44187
RBD,646,44182
Asking Alexandria,1188,44151
Yann Tiersen,1109,43972
Portishead,81,43961
The xx,703,43860
nevershoutnever!,470,43710
Apocalyptica,726,43644
Papa Roach,497,43559
Dave Matthews Band,1643,43536
Katatonia,370,43458
Cocteau Twins,3280,43440
Hadouken!,1191,43303
Bon Jovi,951,43252
M.I.A.,2083,42418
Miranda Lambert,5267,42363
Bat for Lashes,423,42305
Massive Attack,238,42195
Cher,340,41552
Daughtry,3859,41447
Tom Waits,197,41316
Nickelback,966,41094
Tarja,1114,41028
Vanessa Hudgens,908,40837
Deep Purple,1372,40664
Colbie Caillat,342,40510
The Prodigy,1099,40473
Killswitch Engage,815,40428
Jason Mraz,355,40288
Animal Collective,440,40234
Modest Mouse,222,40203
Duffy,97,40042
Jack Johnson,366,39882
Martin L. Gore,1072,39658
Sufjan Stevens,622,39491
Dido,71,39172
Natasha Bedingfield,311,39111
And One,30,38949
Cansei de Ser Sexy,3200,38781
No Doubt,534,38608
Bushido,7759,38392
Jessica Simpson,465,38190
Beirut,196,37812
The Fray,1377,37800
Brand New,3616,37663
Electric Light Orchestra,717,37655
Beck,206,37576
The Libertines,428,37532
Jay-Z,1613,37521
Bloc Party,210,37500
Faith No More,1119,37375
Silverchair,453,37287
Johnny Cash,718,37211
Boys Like Girls,1043,37136
Owl City,691,36911
Manic Street Preachers,851,36669
The All-American Rejects,403,36370
Engenheiros do Hawaii,705,35978
Cat Power,1424,35947
Ozzy Osbourne,724,35924
Anathema,506,35700
Cascada,386,35347
Viking Quest,8388,35323
Alesana,1185,35258
Vangelis,4126,35182
Vampire Weekend,1390,35056
Elton John,192,34976
Norah Jones,1772,34934
Destiny's Child,913,34746
Rush,1110,34641
Alexisonfire,1195,34637
blessthefall,1853,34500
Marc Almond,82,34449
Aphex Twin,603,34321
Sonic Youth,1504,34222
Travis,221,34165
La Roux,526,34090
Little Boots,532,34002
Ladytron,1062,33892
The Clash,857,33757
Mötley Crüe,1803,33624
Amerie,4566,33603
NOFX,4821,33559
Shania Twain,360,33380
Chris Brown,327,33055
Dead by April,2940,33037
Johnny Hallyday,8308,32995
Frank Zappa,2624,32919
Misfits,1206,32827
Kid Cudi,547,32234
God Is an Astronaut,162,32173
Weezer,1239,32136
Whitney Houston,251,32020
Suede,1089,31803
Motörhead,1360,31791
Ace of Base,1081,31704
Mando Diao,2524,31516
Rage Against the Machine,1974,31514
安室奈美恵,3324,31421
Skid Row,952,31404
The Cranberries,166,31367
Spice Girls,2523,31309
Hans Zimmer,1705,31254
宇多田ヒカル,374,31157
Patrick Wolf,1097,31086
Bad Religion,383,31078
Grouper,6410,31073
Billy Talent,1179,31048
Jimmy Eat World,1378,30983
Tyler Adam,6373,30614
Band of Horses,223,30543
Skillet,371,30524
Belinda,790,30446
Dashboard Confessional,2840,30349
Sophie Ellis-Bextor,535,30324
Dio,2342,30208
Blind Guardian,957,30095
Klaxons,432,30083
George Michael,77,29944
Darren Criss,694,29798
Jessie J,1032,29701
Amon Amarth,821,29399
Mindless Self Indulgence,45,29358
The Police,1122,29138
3 Doors Down,472,29041
The Knife,1983,28956
Akira Yamaoka,407,28823
Attack Attack!,2210,28672
Helloween,928,28262
Taking Back Sunday,4262,28262
Breathe Carolina,1035,28256
Dance Gavin Dance,1187,28243
Kings of Convenience,604,28188
The Hives,1520,28143
Frank Sinatra,986,28125
Metric,1632,28106
Michelle Branch,3489,28064
Pixies,859,28038
The Last Shadow Puppets,1512,28029
Busta Rhymes,2919,28020
Anberlin,2661,27969
Hey Monday,693,27941
Hurts,1379,27871
The Cardigans,962,27818
Legião Urbana,714,27680
T.I.,330,27607
Sia,697,27597
Girlicious,1451,27570
Kaiser Chiefs,716,27569
Gloria,1041,27321
Dangerous Muse,3198,27321
Marina & the Diamonds,690,27304
Limp Bizkit,489,27179
The Mars Volta,964,27175
Róisín Murphy,3502,27153
Simple Minds,993,27126
Black Label Society,710,26972
Katharine McPhee,305,26762
Hannah Montana,793,26748
Bush,965,26643
Keri Hilson,317,26534
VersaEmerge,2619,26329
Fergie,320,26323
Flo Rida,545,26168
Silverstein,1181,26071
Digitalism,1396,26048
BIG BANG,367,25855
She & Him,437,25748
Pain of Salvation,2006,25719
The American Dollar,4230,25621
Dark Tranquillity,812,25567
A Skylit Drive,1868,25524
Paul McCartney,1414,25453
Kelis,485,25380
Ennio Morricone,592,25239
Iced Earth,942,25213
Sara Bareilles,3081,25153
Camel,4675,25037
Enya,389,25020
Sepultura,1274,24811
Scorpions,176,24799
Angels & Airwaves,501,24781
Kelly Rowland,332,24585
Jimi Hendrix,1639,24567
Joss Stone,1556,24546
Katie Melua,86,24544
Bob Marley,250,24482
Explosions in the Sky,632,24476
Luciano Ligabue,3478,24151
A Fine Frenzy,362,24133
Bruce Dickinson,922,24109
James Blunt,184,23910
Phoenix,1106,23881
Siouxsie and the Banshees,1083,23851
Kris Allen,2977,23824
Trivium,2379,23772
Saosin,507,23743
Nas,267,23652
JoJo,326,23611
City and Colour,2608,23611
Calvin Harris,1409,23497
Michel Teló,7091,23479
Bruce Springsteen,734,23472
Rytmus,18121,23462
KT Tunstall,2544,23423
Laura Pausini,641,23397
Kreator,954,23324
All That Remains,810,23282
소녀시대,2092,23242
The Mountain Goats,1944,23212
AFI,1091,23154
John Lennon,733,23102
The Black Keys,1976,23022
Soilwork,806,22873
Arch Enemy,953,22865
The Beach Boys,1242,22806
Chico Buarque,1755,22781
Beach House,2139,22761
The Fratellis,1515,22756
múm,444,22661
Electric President,3248,22603
Orchestral Manoeuvres in the Dark,998,22584
The Ting Tings,546,22518
Lamb of God,846,22441
Shayne Ward,1602,22365
The Velvet Underground,863,22356
Editors,1151,22321
Gary Numan,1886,22299
Lights,682,22138
Broken Social Scene,433,22039
Restart,5749,21986
Feist,2277,21972
Deerhunter,1964,21943
Zемфира,3046,21772
Grizzly Bear,3693,21504
Anastacia,1601,21462
Soft Cell,3768,21369
Beastie Boys,605,21268
Jethro Tull,607,21204
The Chemical Brothers,1394,21169
Babyshambles,208,21160
Sandy Leah,3393,21116
Wu-Tang Clan,3227,21097
Dulce María,1428,21092
M83,3411,21065
Switchfoot,4177,21052
Bruno Mars,1042,20997
Lynyrd Skynyrd,2834,20962
Yellowcard,1866,20893
Parkway Drive,805,20874
We Butter The Bread With Butter,2200,20823
Lady Antebellum,1447,20760
Fiona Apple,3110,20697
White Lies,1376,20674
Justice,1398,20670
Ana Carolina,283,20662
The Shins,3258,20635
Prince,601,20415
Sneaker Pimps,3109,20402
Burial,107,20392
The Radio Dept.,6217,20366
Natalia Kills,4814,20337
Forfun,4828,20292
Hole,3739,20257
Kat DeLuna,308,20231
Recoil,1061,20209
Van Halen,2347,20205
De/Vision,153,20203
Thrice,1858,20123
Roxette,180,20046
Jeff Buckley,215,19999
Black Rebel Motorcycle Club,1510,19988
Emilie Autumn,5079,19846
Pendulum,1410,19783
Heidi Montag,3397,19774
George Harrison,1416,19756
Seether,490,19736
65daysofstatic,755,19654
Japan,98,19647
Eric Clapton,728,19637
The Human League,997,19603
Funeral for a Friend,492,19454
Chiodos,1100,19425
Def Leppard,1810,19407
Sade,69,19391
Keyshia Cole,239,19342
Alice Cooper,732,19335
Alexandra Burke,915,19328
August Burns Red,823,19260
Imogen Heap,1383,19176
Ultravox,1013,19131
NX Zero,2080,19046
The Frames,1875,18964
Lacuna Coil,2014,18911
Wilco,4079,18905
Tiësto,1009,18885
INXS,99,18793
Morcheeba,52,18787
Audioslave,1873,18727
Soundgarden,856,18719
PJ Harvey,858,18706
Falco,5254,18699
Perfume,2086,18624
Darin,674,18586
Janis Joplin,2786,18578
Kamelot,936,18556
Peaches,6374,18531
Iron & Wine,602,18451
Westlife,479,18450
Creedence Clearwater Revival,1415,18449
King Crimson,1411,18426
Mary J. Blige,262,18404
Manowar,2838,18315
Tears for Fears,193,18280
Story of the Year,1200,18213
Pidżama Porno,1984,18160
Cut Copy,84,18136
O.S.T.R.,1975,18045
Blondie,985,18041
Josh Groban,2051,18026
Neil Young,630,17930
4minute,2091,17926
Dannii Minogue,789,17921
The Residents,2026,17896
Stone Sour,1145,17862
Devendra Banhart,231,17806
Wolfgang Amadeus Mozart,1121,17786
Gojira,2172,17754
Dead Fish,5630,17733
B.o.B,1455,17718
ムック,1933,17707
Thom Yorke,237,17674
Mogwai,1418,17626
Serj Tankian,2835,17594
Stereophonics,171,17561
G-Unit,2924,17523
Ludwig van Beethoven,1130,17492
Skinny Puppy,1203,17475
Kate Bush,3201,17408
Fleet Foxes,1633,17353
Howard Shore,2446,17265
Brooke Fraser,14185,17231
The Streets,5048,17228
Kate Voegele,307,17200
The Rasmus,405,17190
Sonic Syndicate,811,17151
Mandy Moore,786,17142
Suicide Silence,1196,17125
Madlib,1946,17118
Telefon Tel Aviv,2691,17096
Anal Cunt,4781,17092
Hot Chip,1155,17092
of Montreal,629,17068
Paradise Lost,181,16937
She Wants Revenge,450,16857
J Dilla,1627,16848
The Kinks,554,16810
Static-X,519,16794
Alphaville,877,16765
Hanson,3748,16729
Kraftwerk,1073,16706
Dead Can Dance,1707,16658
Serge Gainsbourg,2136,16649
Simon & Garfunkel,2265,16625
Brad Paisley,356,16612
Mercyful Fate,1535,16601
The Red Jumpsuit Apparatus,1182,16581
Riverside,3940,16561
Eyes Set to Kill,2959,16561
Black Veil Brides,1670,16544
Sublime,2637,16533
Sandra,4880,16516
Rilo Kiley,426,16506
Mastodon,1216,16477
Ezginin Günlüğü,2300,16360
Mew,170,16324
Delta Goodrem,909,16320
Ben Folds,2627,16312
Toni Braxton,241,16307
Metro Station,471,16155
Nelly,5988,16116
Epica,955,16071
Edguy,1350,16069
P.O.D.,510,16056
The Word Alive,2214,16035
Nick Cave and the Bad Seeds,867,16022
John Frusciante,6724,16004
DICKY DIXON LAKE RECORDS,5391,15952
Johann Sebastian Bach,1123,15947
Angra,924,15946
Hooverphonic,54,15927
King Diamond,1992,15888
Drake,3317,15883
Hillsong United,9187,15843
Blutengel,1300,15772
Агата Кристи,1788,15704
Raimundos,1545,15692
Darren Hayes,467,15661
Ricky Martin,1475,15647
David Cook,297,15634
Психея,758,15627
The Kills,420,15615
Rob Zombie,6257,15613
Thievery Corporation,57,15611
Pitbull,1449,15593
Sugarland,364,15591
Take That,5000,15570
The Classic Crime,2652,15557
Maria Mena,359,15533
Missy Elliott,6376,15473
Wiz Khalifa,2242,15418
The Subways,1988,15413
Cassie,312,15405
Corinne Bailey Rae,3488,15351
Dicky Dixon,14986,15345
e-gens,13182,15335
Capsule,2101,15289
Blue,462,15267
Cradle of Filth,25,15166
Autechre,744,15119
Blackfield,186,15113
John Williams,910,15087
Infected Mushroom,174,15030
Taio Cruz,531,15014
dredg,2775,14994
Hatebreed,1547,14991
Vanessa Carlton,2546,14926
Pleq,101,14907
The Distillers,3333,14885
Roger Waters,5175,14856
Jay Sean,7340,14846
2Pac,278,14813
CocoRosie,3902,14810
The Script,2607,14790
Melanie C,2022,14766
Chevelle,2206,14748
Genesis,1413,14723
My Bloody Valentine,2542,14721
The Roots,617,14713
Hammock,1731,14712
Uriah Heep,3774,14704
Frankmusik,8589,14703
Death,949,14694
Moptop,8710,14654
You Me At Six,1183,14646
Ashanti,322,14610
Bonobo,2605,14601
Roxy Music,874,14566
BrokeNCYDE,1678,14557
Simon Curtis,2025,14536
Whitesnake,2787,14523
Danity Kane,309,14522
Atlas Sound,3700,14521
Yazoo,1019,14519
Pink,1052,14512
Arcadia,2562,14474
Protest The Hero,2576,14445
Forever the Sickest Kids,1040,14434
Danny Elfman,2478,14382
New Found Glory,1046,14348
Ne-Yo,484,14332
Capital Inicial,708,14327
Blake Lewis,3575,14320
Eurythmics,1892,14308
Clint Mansell,1700,14307
Miranda Cosgrove,1458,14305
The Academy Is...,6453,14303
Blonde Redhead,3259,14268
Jean-Michel Jarre,93,14259
Ensiferum,824,14254
Inna,644,14234
Bauhaus,875,14220
Unheilig,1704,14209
Neuro Dubel,2734,14203
Say Anything,6773,14194
George Strait,2467,14191
Anthrax,1527,14163
Minus the Bear,2572,14157
Emarosa,2847,14116
The Decemberists,211,14090
W.A.S.P.,1366,14087
RICHARD DIXON-COMPOSER,14987,14082
Ice Cube,2236,14024
Bloodbath,2654,13988
Cute Is What We Aim For,1201,13975
Mobb Deep,2252,13960
Fear Factory,785,13906
Nitzer Ebb,880,13896
Therion,1710,13894
Converge,3028,13892
Plain White T's,3373,13873
Sopor Aeternus & The Ensemble of Shadows,39,13816
Michael Bublé,2176,13813
Alexandre Desplat,4923,13806
YUI,1857,13762
Takanashi Yasuharu,8292,13759
Adriana Calcanhotto,246,13716
The Verve,1384,13693
Rancid,1645,13661
Dire Straits,712,13640
September,2018,13569
Antony and the Johnsons,1167,13520
The Maine,1038,13504
Uffie,5149,13501
Lolene,2543,13498
Mayday Parade,1193,13473
Paris Hilton,1580,13461
2NE1,400,13418
Apparat,1745,13415
Lykke Li,1609,13407
Hollywood Undead,1863,13405
Amy Macdonald,1463,13401
Vanessa da Mata,4716,13363
The Corrs,3763,13340
Superchic[k],11236,13300
ATB,722,13295
Selena Gomez,1453,13234
Rufus Wainwright,2632,13229
The Flashbulb,2667,13226
Flying Lotus,1943,13178
Anti-Flag,1650,13151
The Postal Service,4118,13112
Ryan Adams,1519,13084
I See Stars,2426,13075
Type O Negative,2369,13068
Ayria,1066,13036
Ted Leo and The Pharmacists,6836,12951
Janelle Monáe,5150,12933
Matchbox Twenty,3097,12876
Talk Talk,61,12833
Client,4308,12828
Marillion,3264,12812
CAKE,202,12799
deadmau5,1401,12773
Pulp,620,12753
Norther,2963,12723
*NSYNC,459,12715
DMX,6626,12714
CPM 22,6120,12661
Snoop Dogg,2226,12615
Hoobastank,1874,12565
Ray J,6375,12554
Basshunter,2498,12551
Frank Klepacki,6056,12531
80kidz,15075,12520
Motion City Soundtrack,3341,12486
Trey Songz,3318,12471
Pain,2961,12451
Red,1852,12430
Sky Ferreira,3404,12425
Senses Fail,1197,12422
The Rocket Summer,6600,12353
Avantasia,946,12345
Bowling for Soup,1689,12331
Рубль,2704,12321
Garth Brooks,2442,12312
Monrose,350,12292
Korpiklaani,2746,12266
Raul Seixas,4087,12255
X-Ray Dog,9363,12242
Lloyd Banks,2916,12200
Dragonette,886,12176
Kelly Key,3176,12157
Killwhitneydead,4934,12147
The Dillinger Escape Plan,845,12115
Martin O'Donnell & Michael Salvatori,6077,12086
Morten Harket,3832,12076
Stratovarius,937,12070
Sparks,1890,12055
Мои Ракеты Вверх,4225,12043
Third Eye Blind,3754,12037
Jefferson Airplane,5844,12030
Fleetwood Mac,96,12008
Fightstar,2150,11969
Aaliyah,2220,11936
Andrew Bird,205,11918
Bob Marley & The Wailers,245,11867
Dolly Parton,1694,11865
Spoon,434,11859
Paola & Chiara,13351,11839
Raunchy,9761,11820
The New Pornographers,2424,11815
Marisa Monte,261,11769
Camouflage,75,11768
Pavement,1957,11732
Poets of the Fall,189,11728
Goo Goo Dolls,3427,11703
Maxïmo Park,2815,11701
Vasco Rossi,2070,11689
Stars,2407,11637
Willow Smith,1452,11628
Oomph!,1714,11576
Manu Chao,447,11518
Alkaline Trio,4189,11511
Keith Urban,2436,11509
The Jimi Hendrix Experience,1426,11484
Syd Barrett,1806,11468
Jennifer Hudson,1936,11450
In Extremo,2038,11431
Twiztid,2479,11430
Coheed and Cambria,3621,11389
Echo & The Bunnymen,2938,11388
Far East Movement,1456,11374
Coil,2030,11357
Buckethead,9716,11353
Why?,3685,11342
Faithless,66,11316
O Teatro Mágico,438,11314
D12,6618,11310
David Gilmour,1425,11295
植松伸夫,5605,11286
Squarepusher,616,11264
Noize MC,460,11251
Wolfmother,3475,11249
Eluveitie,837,11244
Rainbow,3470,11216
James Morrison,3171,11203
Charlie Brown Jr.,1681,11191
Alizée,3674,11156
Eels,235,11149
Foals,2582,11049
"Royce da 5'9""",2906,11042
Poison,4165,11031
Shiny Toy Guns,3769,11024
VNV Nation,1295,11012
Spandau Ballet,85,10998
Os Mutantes,5416,10997
Electronic,76,10949
Machine Head,2744,10906
Rascal Flatts,2439,10902
Άννα Βισση,640,10896
Cypress Hill,1979,10882
Queensrÿche,1343,10875
Ulver,3417,10861
Gustavo Cerati,5237,10822
Buddy Holly,2902,10801
DIR EN GREY,8,10791
Tribraco,4625,10776
Automatic Loveletter,2839,10768
Kenny Chesney,3588,10765
Creed,2352,10754
Eddie Vedder,1778,10741
Ayreon,1113,10738
Kontrafakt,18122,10726
36 Crazyfists,818,10722
Billy Joel,2444,10670
T. Rex,1804,10651
Brian Eno,1709,10648
Kurt Vile,13038,10647
Biffy Clyro,2580,10646
HammerFall,1338,10643
LCD Soundsystem,2535,10640
Klaus Badelt,4917,10627
Testament,947,10599
Armin van Buuren,968,10577
Holdcut,8366,10574
Scar Symmetry,835,10547
Jamie Cullum,4616,10506
Mr. Big,2797,10505
Beatsteaks,7650,10490
Nick Drake,609,10476
Drowning Pool,3240,10468
Ratatat,3707,10462
Devo,1878,10456
Steve Jablonsky,2035,10450
Fever Ray,1990,10447
The Vines,4115,10419
Relient K,3078,10401
Stone Temple Pilots,860,10379
Godsmack,2380,10373
Benoît Pioulard,11999,10370
Britt Nicole,5032,10354
Nephew,4313,10340
Bernard Butler,11230,10332
Robert Pattinson,5746,10310
Ivete Sangalo,3173,10309
Passion Pit,5547,10282
Schiller,1793,10264
Celldweller,516,10234
Circa Survive,5966,10231
TLC,4883,10228
Chuck Berry,585,10218
Era,727,10199
Prefuse 73,1969,10193
The B-52's,3281,10193
Finch,494,10180
Madvillain,1950,10179
Tenacious D,1351,10162
Billy Bragg,13416,10149
Miles Davis,610,10139
†‡†,11030,10134
Apoptygma Berzerk,1298,10125
The Sisters of Mercy,1534,10122
Stevie Wonder,1427,10110
Yes,3481,10098
L'Arc~en~Ciel,396,10086
DJ Shadow,2716,10078
Caliban,814,10065
Alter Bridge,2794,10040
The Runaways,1807,10035
Sarah McLachlan,3466,10032
Confide,4166,10011
Thompson Twins,999,10010
Ryan Leslie,8071,10007
The Bravery,4435,10007
7раса,4226,10004
A Rocket to the Moon,2653,9997
Flotation Toy Warning,9665,9975
Laura Marling,1971,9968
Dr. Dre,2247,9959
Ляпис Трубецкой,2735,9941
Something Corporate,6298,9935
Amon Tobin,2668,9929
Mesh,3988,9928
Phil Collins,3302,9848
From First to Last,2430,9848
Brian Littrell,3568,9845
Melvins,1202,9843
In Fear and Faith,4550,9835
Fuel,5217,9812
Despised Icon,842,9804
Kill Hannah,4255,9801
James Horner,4920,9799
Clan of Xymox,515,9786
the GazettE,1910,9771
The Alan Parsons Project,7054,9762
The Raveonettes,4384,9757
Feeder,3945,9751
Zero 7,1824,9750
Four Year Strong,1192,9744
Yo La Tengo,5549,9730
Two Door Cinema Club,2137,9716
Nina Simone,1833,9714
Móveis Coloniais de Acaju,421,9706
Pierce the Veil,2617,9670
Sodom,1261,9670
Hellogoodbye,4385,9669
Panda Bear,3691,9660
Gang Starr,276,9652
OutKast,1620,9649
Trapt,2843,9633
DJ BoBo,3947,9630
MF DOOM,1963,9627
Combichrist,9,9621
RoBERT,8281,9615
The Presets,4025,9611
Behemoth,12,9564
Asia,3921,9563
Venetian Snares,1222,9562
Ajda Pekkan,2301,9506
Plumb,8047,9502
Split Enz,1879,9498
Tina Turner,258,9498
Tony Yayo,6622,9498
Devin Townsend,1994,9490
Hall & Oates,2554,9482
Shannon Noll,15347,9453
Ólafur Arnalds,1747,9433
Jon McLaughlin,4487,9420
Jewel,891,9412
Ill Niño,514,9409
Hande Yener,2309,9408
Madball,3729,9404
We The Kings,1198,9381
Razorlight,2614,9380
Icehouse,68,9357
Jason Derülo,4562,9357
Bob Sinclar,11139,9354
Notorious B.I.G.,3357,9340
Hey,3237,9338
DevilDriver,2143,9334
Eddie Cochran,5375,9326
Fantômas,2473,9316
De La Soul,1622,9305
Veil of Maya,3997,9290
Machinae Supremacy,2944,9290
Einstürzende Neubauten,631,9283
Covenant,32,9256
Neutral Milk Hotel,1947,9255
The Black Dahlia Murder,809,9244
Tim McGraw,2453,9234
Lupe Fiasco,2923,9223
Big Time Rush,1461,9212
Detonautas Roque Clube,2983,9192
Plaid,2673,9192
Alphabeat,530,9185
Antonio Vivaldi,1491,9144
Crash Test Dummies,10526,9124
Cynic,3788,9117
Rachel Stevens,911,9117
Meg & Dia,13645,9108
The Dresden Dolls,1231,9101
EMF,8367,9097
Die Ärzte,4155,9084
Emily Osment,797,9083
The Horrors,3767,9069
Eths,3236,9038
Jack's Mannequin,1105,9037
Millencolin,840,8993
Sheryl Crow,3460,8976
Sex Pistols,1814,8969
"Drop Dead, Gorgeous",5969,8969
Dimmu Borgir,15,8963
M. Pokora,476,8961
Soda Stereo,3892,8961
Rhapsody of Fire,1349,8949
L'Âme Immortelle,3184,8905
Bloodhound Gang,2738,8902
After the Burial,4003,8864
Unnaddarè,4626,8833
Alexander Rybak,2645,8808
The Album Leaf,621,8806
DonGURALesko,11379,8796
Radical Face,3249,8772
Jamiroquai,183,8747
Ladyhawke,4704,8736
Augustana,3753,8734
Bryan Adams,253,8728
Shontelle,2990,8727
Enrique Bunbury,5236,8699
Burzum,4271,8687
:wumpscut:,19,8685
Bon Iver,445,8673
Sonny Black & Frank White,9677,8665
The Magnetic Fields,1164,8658
大塚愛,5089,8650
Hanni Kohl,5960,8648
Ariel Ramírez,8282,8643
Neo,4627,8636
Amorphis,2370,8635
Skank,1241,8633
Monica,287,8630
UNKLE,1787,8627
Sting,1795,8625
Scooter,2500,8600
Agalloch,1134,8587
KMFDM,36,8570
Underworld,3413,8564
Cream,2855,8561
Camera Obscura,5414,8554
Little Joy,1766,8518
Sick Puppies,3084,8513
Mara Maravilha,6696,8511
Thomas Newman,7152,8486
Joanna Newsom,1732,8460
Eagles,730,8451
Dope,1870,8447
